playerId,name,position,gp,goals,assists,points
8474062,Riley Nash,C,628,63,113,176
8474157,Max Pacioretty,L,939,335,346,681
8474164,Jonathon Blum,D,110,7,17,24
8474150,Mikael Backlund,C,1148,232,374,606
8474158,Patrick White,C,0,0,0,0
8474102,David Perron,L,1239,332,480,812
8474090,Brendan Smith,D,741,39,107,146
8474032,Nick Petrecki,D,1,0,0,0
8474024,Jim O'Brien,C,77,8,5,13
8474041,Nick Ross,D,0,0,0,0
8474113,TJ Brennan,D,53,5,8,13
8474050,Brett MacLean,L,18,2,3,5
8474108,Taylor Ellington,D,0,0,0,0
8473683,Josh Godfrey,D,0,0,0,0
8474019,Tommy Cross,D,3,0,1,1
8474097,Joel Gistedt,G,0,0,0,0
8474187,Stefan Legein,R,0,0,0,0
8474035,Bill Sweatt,L,3,0,0,0
8474173,Simon Hjalmarsson,R,0,0,0,0
8474153,Michal Repik,R,72,9,11,20
8474163,Kevin Marshall,D,10,0,0,0
8474025,Eric Tangradi,L,150,5,11,16
8474056,P.K. Subban,D,834,115,352,467
8474030,Aaron Palushaj,R,68,3,11,14
8474002,Colby Cohen,D,3,0,0,0
8474017,Theo Ruth,D,0,0,0,0
8474095,Dana Tyrell,C,135,7,17,24
8474105,Antoine Lafleur,G,0,0,0,0
8474083,Trevor Cann,G,0,0,0,0
8474020,Nico Sacchetti,C,0,0,0,0
8474148,Keven Veilleux,C,0,0,0,0
8474114,Oscar Moller,R,87,12,14,26
8474175,Will Weber,D,0,0,0,0
8474092,Jeremy Smith,G,10,0,0,0
8474001,TJ Galiardi,L,321,44,61,105
8474049,Akim Aliu,R,7,2,1,3
8474023,Mike Hoeffel,L,0,0,0,0
8474096,Nick Spaling,C,437,52,72,124
8473996,Drew Schiestel,D,0,0,0,0
8474101,Ruslan Bashkirov,L,0,0,0,0
8474190,Wayne Simmonds,R,1037,263,263,526
8474063,Mark Katic,D,11,0,1,1
8474139,Maxime Macenauer,C,29,1,3,4
8474170,Sergei Korostin,R,0,0,0,0
8474119,Olivier Fortier,C,0,0,0,0
8474084,Garrett Klotz,L,0,0,0,0
8474146,Spencer Machacek,R,25,2,7,9
8474099,Jake Hansen,R,0,0,0,0
8474109,Maxime Tanguay,C,0,0,0,0
8474076,John Negrin,D,3,0,1,1
8474149,Evgenii Dadonov,L,641,164,198,362
8474137,Drayson Bowman,L,179,15,18,33
8474134,Yannick Weber,D,499,28,66,94
8474054,Dale Mitchell,R,0,0,0,0
8474156,Luca Cunti,C,0,0,0,0
8474132,Jason Gregoire,L,0,0,0,0
8473986,Alex Killorn,L,1032,250,322,572
8474145,Robert Bortuzzo,D,577,20,56,76
8473999,Nick Palmieri,R,87,13,12,25
8474015,Casey Pierro-Zabotel,C,0,0,0,0
8474143,Ryan Thang,L,1,0,0,0
8474188,Bryan Cameron,C,0,0,0,0
8474194,Timo Pielmeier,G,1,0,0,0
8474160,Phil Desimone,C,0,0,0,0
8474087,Brett Sonne,C,0,0,0,0
8474007,Josh Unice,G,0,0,0,0
8474196,Corbin McPherson,D,0,0,0,0
8474168,Joakim Andersson,C,205,15,21,36
8474130,Corey Tropp,R,149,6,21,27
8474129,Louie Caporusso,C,0,0,0,0
8474003,Tyson Sexsmith,G,0,0,0,0
8474104,Justin Vaive,L,0,0,0,0
8474000,Steven Kampfer,D,231,15,24,39
8474195,Maksim Mayorov,L,22,2,1,3
8474166,Alec Martinez,D,862,88,201,289
8474029,Cade Fairchild,D,5,0,1,1
8474059,Linus Omark,L,79,8,24,32
