draftYear,overall,round,pickInRound,playerId,name,position,team,teamId,country,name_c,position_c,gp,goals,assists,points,is_goalie,franchise,bin,exp_gp,exp_pts,surplus_gp,surplus_pts
2005,106,4,15,8471743,Vladimir Sobotka,F,BOS,6,CZE,Vladimir Sobotka,C,548,53.0,118.0,171,False,BOS,"(100, 125]",88.12091545193053,42.8668550490614,459.8790845480695,128.1331449509386
2005,107,4,16,8471768,Tom Pyatt,C,NYR,3,CAN,Tom Pyatt,L,445,43.0,58.0,101,False,NYR,"(100, 125]",87.86939702247173,42.85150413726349,357.13060297752827,58.14849586273651
2005,108,4,17,8471769,Niklas Hjalmarsson,D,CHI,16,SWE,Niklas Hjalmarsson,D,821,25.0,147.0,172,False,CHI,"(100, 125]",87.62942738666686,42.83725164346075,733.3705726133331,129.16274835653925
2005,109,4,18,8471771,Andrew Thomas,D,WSH,15,USA,Andrew Thomas,D,0,0.0,0.0,0,False,WSH,"(100, 125]",87.4004762667341,42.82401897153408,-87.4004762667341,-42.82401897153408
2005,110,4,19,8471772,Kyle Bailey,C,MIN,30,CAN,Kyle Bailey,C,0,0.0,0.0,0,False,MIN,"(100, 125]",87.1820377332811,42.8117331492252,-87.1820377332811,-42.8117331492252
2005,111,4,20,8471773,J.D. Watt,RW,CGY,20,CAN,J.D. Watt,R,0,0.0,0.0,0,False,CGY,"(100, 125]",86.97362908731724,42.80032642572733,-86.97362908731724,-42.80032642572733
2005,112,4,21,8471774,Alex Stalock,G,SJS,28,USA,Alex Stalock,G,179,0.0,4.0,0,True,SJS,"(100, 125]",86.7747897935997,42.78973589806988,92.2252102064003,
2005,113,4,22,8471775,Nathan Davis,F,CHI,16,USA,Nathan Davis,C,0,0.0,0.0,0,False,CHI,"(100, 125]",86.58508046295634,42.77990316423669,-86.58508046295634,-42.77990316423669
2005,114,4,23,8471776,Alexandre Vincent,G,VAN,23,CAN,Alexandre Vincent,G,0,0.0,0.0,0,True,VAN,"(100, 125]",86.4040818813366,42.770774001105124,-86.4040818813366,
2005,115,4,24,8471777,Janne Kolehmainen,LW,OTT,9,FIN,Janne Kolehmainen,L,0,0.0,0.0,0,False,OTT,"(100, 125]",86.23139408344461,42.76229806542979,-86.23139408344461,-42.76229806542979
2005,116,4,25,8471778,Jordan Lavallee-Smotherman,LW,ATL,11,USA,Jordan Lavallee-Smotherman,L,4,1.0,1.0,2,False,WPG,"(100, 125]",86.06663546890789,42.754428616222114,-82.06663546890789,-40.754428616222114
2005,117,4,26,8471779,Denis Istomin,RW,CHI,16,RUS,Denis Istomin,R,0,0.0,0.0,0,False,CHI,"(100, 125]",85.90944195902806,42.747122256994736,-85.90944195902806,-42.747122256994736
2005,118,4,27,8471780,Patrick McNeill,D,WSH,15,CAN,Patrick McNeill,D,0,0.0,0.0,0,False,WSH,"(100, 125]",85.75946619225057,42.7403386964493,-85.75946619225057,-42.7403386964493
2005,119,4,28,8471781,Jeremy Duchesne,G,PHI,4,USA,Jeremy Duchesne,G,1,0.0,0.0,0,True,PHI,"(100, 125]",85.61637675657546,42.734040526288005,-84.61637675657546,
2005,120,4,29,8471782,Viacheslav Trukhno,C,EDM,22,RUS,Viacheslav Trukhno,C,0,0.0,0.0,0,False,EDM,"(100, 125]",85.47985745721293,42.72819301492359,-85.47985745721293,-42.72819301492359
2005,121,4,30,8471783,Juraj Mikus,F,MTL,8,SVK,Juraj Mikus,C,0,0.0,0.0,0,False,MTL,"(100, 125]",85.34960661786548,42.72276391595019,-85.34960661786548,-42.72276391595019
2005,122,4,31,8471784,Morten Madsen,F,MIN,30,DNK,Morten Madsen,C,0,0.0,0.0,0,False,MIN,"(100, 125]",85.22533641409257,42.71772329031886,-85.22533641409257,-42.71772329031886
2005,123,4,32,8471785,Ondrej Otcenas,F,CAR,12,SVK,Ondrej Otcenas,C,0,0.0,0.0,0,False,CAR,"(100, 125]",85.10677223728473,42.713043341237125,-85.10677223728473,-42.713043341237125
2005,124,4,33,8471786,Ray Macias,D,COL,21,USA,Ray Macias,D,8,0.0,1.0,1,False,COL,"(100, 125]",84.9936520878416,42.708698260882116,-76.9936520878416,-41.708698260882116
2005,125,4,34,8471787,Tommi Leinonen,D,PIT,5,FIN,Tommi Leinonen,D,0,0.0,0.0,0,False,PIT,"(100, 125]",84.88572599621297,42.70466408808199,-84.88572599621297,-42.70466408808199
2005,126,5,1,8471788,Tim Crowder,RW,PIT,5,CAN,Tim Crowder,R,0,0.0,0.0,0,False,PIT,"(125, 150]",84.78275547052348,42.700918576180825,-84.78275547052348,-42.700918576180825
2005,127,5,2,8471789,Bobby Bolt,LW,ANA,24,CAN,Bobby Bolt,L,0,0.0,0.0,0,False,ANA,"(125, 150]",84.6845129695604,42.697441070358224,-84.6845129695604,-42.697441070358224
2005,128,5,3,8471790,Kevin Lalande,G,CGY,20,CAN,Kevin Lalande,G,0,0.0,0.0,0,True,CGY,"(125, 150]",84.59078139995972,42.69421239372728,-84.59078139995972,
2005,129,5,4,8471791,Anthony Aiello,D,MIN,30,USA,Anthony Aiello,D,0,0.0,0.0,0,False,MIN,"(125, 150]",84.50135363647975,42.69121474158261,-84.50135363647975,-42.69121474158261
2005,130,5,5,8471792,Mathieu Aubin,C,MTL,8,CAN,Mathieu Aubin,C,0,0.0,0.0,0,False,MTL,"(125, 150]",84.41603206430189,42.688431583215404,-84.41603206430189,-42.688431583215404
