unit_id,cluster,umap_x,umap_y
643,12,6.657461,12.411025
644,2,4.0612826,12.117794
645,2,4.0489254,12.133707
646,2,7.5346427,8.490147
647,2,7.625382,8.526519
648,17,7.9083676,8.865146
649,19,5.6837225,11.376973
650,6,5.9955735,10.690682
651,2,0.75715643,6.922044
652,7,4.788744,10.245771
653,2,3.0071583,11.248629
654,11,2.8060412,7.8828716
655,11,0.003518411,11.602829
656,2,2.5155916,13.838084
657,13,4.3600135,10.82779
658,3,3.2629535,10.772115
659,22,4.034742,10.562334
660,13,1.8012778,11.594263
661,2,6.125195,9.668958
662,2,2.9335542,15.188839
663,19,5.80065,11.381536
664,17,0.526665,7.8955173
665,2,4.534236,11.502817
666,4,6.1057496,8.726711
667,17,3.3677187,10.630622
668,2,1.5486615,11.068625
669,2,7.9591007,8.947876
670,7,7.6155844,9.171907
671,17,3.795679,11.500512
672,17,3.6636996,11.476223
673,0,-0.35867134,14.1382
674,10,5.450922,9.934678
675,0,6.5097203,7.732527
676,2,6.488885,7.7751837
677,0,6.473496,7.7464013
678,2,6.514863,7.750914
679,1,1.1302673,7.748804
680,4,5.7603207,8.994382
681,17,2.4483578,10.491001
682,2,6.057838,10.648483
683,2,3.1869724,9.431546
684,10,5.431117,9.930726
685,3,5.8676667,11.516788
686,18,3.1383214,13.29089
687,13,6.7537165,9.9035225
688,13,1.7979249,11.616032
689,3,0.84080464,12.433945
690,13,1.8102129,11.608725
691,13,1.3992116,8.392835
692,13,1.4682847,8.468914
693,13,1.5730464,11.828064
694,13,6.1034384,10.654828
695,13,-0.7734122,8.654975
696,13,-0.103072084,10.01054
697,13,6.04356,10.904866
698,13,1.735492,11.5895605
699,11,2.6724823,8.908421
700,13,1.8571011,11.590629
701,11,2.11283,11.113332
702,13,1.8599548,11.4657545
703,3,5.6066833,12.202446
704,4,4.515792,10.816681
705,2,1.8467103,12.028797
706,18,2.9960637,15.039317
707,2,1.4566056,7.0837793
708,2,1.6292945,8.785469
709,12,2.1634867,8.004093
710,0,-0.09067051,8.468583
711,3,5.671468,12.138334
712,2,1.4664985,7.055508
713,0,0.044760633,8.423042
714,2,-0.3339957,7.946829
715,2,2.3639033,7.283296
716,3,2.9544494,10.30148
717,6,4.2442536,12.877785
718,18,3.1535199,13.436178
719,10,3.0299196,13.88517
720,18,3.0964727,13.607141
721,10,3.0278544,13.88126
722,18,3.0703168,13.643476
723,10,3.0307717,13.910318
724,18,3.2194483,13.364309
725,17,0.8456977,5.894877
726,2,3.189311,10.848122
727,2,2.5475662,10.544772
728,17,0.9643691,11.966921
729,2,4.055419,12.106544
730,2,-0.02016491,7.1383944
731,3,2.9708538,13.959997
732,18,4.0353518,12.079954
733,17,0.9033281,9.7107935
734,2,-0.28500575,14.049752
735,19,1.7719212,15.2299795
736,10,1.1857249,8.291432
737,2,1.4400843,7.105857
738,10,5.63934,10.1442375
739,5,3.8002007,8.54544
740,2,4.0548177,5.747524
741,2,4.0447245,5.731383
742,2,4.053337,5.7270765
743,5,4.0504704,5.7439327
744,2,4.042821,5.7278767
745,13,1.1436732,8.815651
746,21,2.9523501,15.0343075
747,0,7.684143,11.301347
748,4,6.002426,8.896736
749,10,5.4535837,9.972386
750,0,1.8941525,9.077077
751,17,3.9081888,10.570557
752,10,5.549795,10.062069
753,2,8.003571,8.999225
754,11,2.1703908,7.886401
755,16,0.017726513,12.61022
756,16,0.008457354,11.526288
757,0,5.266491,6.6132064
758,16,-0.43543634,13.036108
759,2,1.9313595,10.265266
760,2,7.5247416,9.20686
761,2,7.3722153,9.231049
762,2,7.5747027,9.192258
763,2,7.519341,9.30306
764,7,4.5279994,10.853008
765,7,4.5075045,10.8791485
766,7,-0.31507683,14.076842
767,2,7.9591985,8.953821
768,2,0.026230564,13.929022
769,2,7.991974,8.982322
770,2,7.946193,8.981588
771,2,0.031271476,13.915625
772,2,8.023077,8.995576
773,2,-2.1449907,8.4917345
774,2,5.9881034,10.663766
775,11,2.6522355,7.8120008
776,13,6.059261,10.667692
777,2,2.4460917,7.716678
778,11,2.3424869,7.805377
779,18,2.9972346,13.029437
780,18,3.0504386,13.063276
781,13,4.4468794,6.2737117
782,13,1.7766039,15.269885
783,6,1.3030114,11.468365
784,16,-0.11490066,12.574814
785,16,-0.12777936,12.592348
786,17,0.9955505,12.006224
787,17,-0.42075667,8.02305
